timestamp,username,account_type,src_ip,target,protocol,success,anomaly_type,is_anomaly,hour,dayofweek,hour_sin,hour_cos,is_off_hours,is_weekend,ip_class,is_external_ip,is_datacenter,is_internal,acct_risk_score,protocol_enc,target_mismatch,user_total_events,user_fail_rate,user_mean_hour,user_ip_variety,user_target_variety,hour_deviation,ts_unix,velocity_10min,kmeans_cluster,dbscan_cluster,dbscan_outlier,pca_x,pca_y,risk_score,risk_flags,risk_score_norm,severity
2024-01-01 00:40:00,svc_backup,service,69.252.84.1,storage-mgmt,tacacs,1,normal,0,0,0,0.0,1.0,1,0,datacenter,0,1,0,2,1,0,97,0.030927835051546393,11.762886597938145,89,4,11.762886597938145,1704069600,1,4,0,0,3.1435106596745177,0.5873966211105665,1.0,HOUR_DEV_12H,0.71,LOW
2024-01-01 00:56:00,root,root,185.220.49.50,cmts,radius,0,root_login,1,0,0,0.0,1.0,1,0,external,1,0,0,5,0,0,18,0.7777777777777778,10.777777777777779,18,3,10.777777777777779,1704070560,1,7,-1,1,1.3360960167777625,9.833635346038605,14.0,ROOT_LOGIN | OFF_HOURS_PRIVILEGED | EXTERNAL_PRIVILEGED | DBSCAN_OUTLIER | EXTERNAL_AUTH_FAILURE | HOUR_DEV_11H,10.0,CRITICAL
2024-01-01 05:40:00,svc_backup,service,184.29.61.5,backup-svr,tacacs,1,normal,0,5,0,0.9659258262890683,0.25881904510252074,1,0,datacenter,0,1,0,2,1,0,97,0.030927835051546393,11.762886597938145,89,4,6.762886597938145,1704087600,1,4,0,0,2.145101353588012,0.40300846158003384,1.0,HOUR_DEV_7H,0.71,LOW
2024-01-01 06:05:00,svc_monitor,service,172.18.240.15,cmts-mgmt,tacacs,1,normal,0,6,0,1.0,6.123233995736766e-17,0,0,rfc1918_mgmt,0,0,1,2,1,0,179,0.016759776536312887,11.659217877094973,160,2,5.659217877094973,1704089100,1,2,-1,1,0.28491148057452836,-0.33374409116229264,1.5,DBSCAN_OUTLIER,1.07,LOW
2024-01-01 07:43:00,svc_deploy,service,162.150.17.9,git-runner,tacacs,1,normal,0,7,0,0.9659258262890683,-0.25881904510252063,0,0,datacenter,0,1,0,2,1,0,196,0.05102040816326525,11.28061224489796,169,2,4.280612244897959,1704094980,1,1,1,0,1.2047412112829934,-0.7025220391286737,0.0,NONE,0.0,INFO
2024-01-01 08:04:00,jsmith,user,10.2.32.30,intranet,radius,1,normal,0,8,0,0.8660254037844387,-0.4999999999999998,0,0,rfc1918_corp,0,0,1,1,0,0,61,0.049180327868852514,12.37704918032787,61,3,4.3770491803278695,1704096240,1,5,2,0,-2.031314517001371,-0.02271152669334237,0.0,NONE,0.0,INFO
2024-01-01 08:16:00,net_admin2,admin,184.29.51.6,router-core,tacacs,1,normal,0,8,0,0.8660254037844387,-0.4999999999999998,0,0,datacenter,0,1,0,3,1,0,56,0.017857142857142905,11.5,51,2,3.5,1704096960,1,1,3,0,0.5212937792530343,-0.30208013792525573,0.0,NONE,0.0,INFO
2024-01-01 08:18:00,jsmith,user,96.24.0.100,vpn,radius,1,normal,0,8,0,0.8660254037844387,-0.4999999999999998,0,0,cable_customer,0,0,0,1,0,0,61,0.049180327868852514,12.37704918032787,61,3,4.3770491803278695,1704097080,1,8,4,0,-1.6086488241373362,-0.05295840118516,0.0,NONE,0.0,INFO
2024-01-01 09:28:00,net_admin2,admin,184.29.60.15,switch-mgmt,tacacs,1,normal,0,9,0,0.7071067811865476,-0.7071067811865475,0,0,datacenter,0,1,0,3,1,0,56,0.017857142857142905,11.5,51,2,2.5,1704101280,1,1,3,0,0.2653040376895428,-0.42571975126841455,0.0,NONE,0.0,INFO
2024-01-01 10:17:00,jsmith,user,10.2.64.40,webmail,radius,1,normal,0,10,0,0.49999999999999994,-0.8660254037844387,0,0,rfc1918_corp,0,0,1,1,0,0,61,0.049180327868852514,12.37704918032787,61,3,2.3770491803278695,1704104220,1,5,2,0,-2.5177742148328255,-0.2662372378708812,0.0,NONE,0.0,INFO
2024-01-01 10:21:00,jsmith,user,100.74.224.2,webmail,radius,1,normal,0,10,0,0.49999999999999994,-0.8660254037844387,0,0,cgnat,0,0,0,1,0,0,61,0.049180327868852514,12.37704918032787,61,3,2.3770491803278695,1704104460,2,0,-1,1,-2.01795793091001,-0.6482361590821019,1.5,DBSCAN_OUTLIER,1.07,LOW
2024-01-01 10:40:00,tchan,user,96.10.160.1,vpn,radius,1,normal,0,10,0,0.49999999999999994,-0.8660254037844387,0,0,cable_customer,0,0,0,1,0,0,59,0.03389830508474578,13.474576271186441,59,2,3.474576271186441,1704105600,1,8,4,0,-1.967018239313455,-0.31102381979184685,0.0,NONE,0.0,INFO
